dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
01M015,P.S. 015 ROBERTO CLEMENTE                       ,2011-2012,89.4,10.6,21.2,6.3,33.3,57.7,2.1,51.3,48.7
01M019,P.S. 019 ASHER LEVY                             ,2011-2012,61.5,10.1,18,15.5,24.7,48.2,8.5,44.8,55.2
01M020,PS 020 ANNA SILVER                              ,2011-2012,92.5,20.4,15.5,30.4,8.8,57,2.6,52.7,47.3
01M034,PS 034 FRANKLIN D ROOSEVELT                     ,2011-2012,99.7,8.5,26.4,5.5,22.4,68.6,2,50.9,49.1
01M063,PS 063 WILLIAM MCKINLEY                         ,2011-2012,78.9,3.4,25.6,5.1,23.3,62.5,8.5,55.1,44.9
01M064,PS 064 ROBERT SIMON                             ,2011-2012,76.9,9,31.5,8,23.5,59.6,7.4,56.8,43.2
01M110,PS 110 FLORENCE NIGHTINGALE                     ,2011-2012,52.5,7,13.9,12.5,13.2,44.1,28.2,49.8,50.2
01M134,PS 134 HENRIETTA SZOLD                          ,2011-2012,84.1,16.5,16.5,28.2,20.1,49.1,2.2,48,52
01M137,PS 137 JOHN L BERNSTEIN                         ,2011-2012,82.2,14.8,23.5,18.3,24.8,53.5,3,48.3,51.7
01M140,PS 140 NATHAN STRAUS                            ,2011-2012,82.1,14.7,23.3,4.2,16.2,77.9,1.7,53.1,46.9
01M142,PS 142 AMALIA CASTRO                            ,2011-2012,91.8,12.2,22.4,7.9,13.4,74.1,2.8,48,52
01M184,PS 184M SHUANG WEN                              ,2011-2012,71.5,10.9,6.7,81,4.2,5.8,8.4,49.9,50.1
01M188,PS 188 THE ISLAND SCHOOL                        ,2011-2012,89.6,16.8,19.3,2.6,26.8,65.7,4.9,54.4,45.6
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES   ,2011-2012,88.6,22.3,24.9,14,29.1,53.8,1.7,61.4,38.6
01M301,TECHNOLOGY ARTS AND SCIENCES STUDIO             ,2011-2012,71,7.6,31.2,10,24.1,58.2,6.5,54.7,45.3
01M315,THE EAST VILLAGE COMMUNITY SCHOOL               ,2011-2012,35.2,2.9,21.7,10.7,12.3,28.3,41.4,59,41
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL           ,2011-2012,87.9,19.1,32.2,1.7,22.6,74.8,0,62.6,37.4
01M345,COLLABORATIVE ACADEMY OF SCIENCE                ,2011-2012,77.1,5.7,25.3,13.1,22.9,61.6,2.4,55.9,44.1
01M361,CHILDREN'S WORKSHOP SCHOOL                      ,2011-2012,42.7,7.7,13.8,15.4,13,30,40.5,40.9,59.1
01M363,NEIGHBORHOOD SCHOOL                             ,2011-2012,33.1,2.9,21.9,13,16.8,28.6,40.6,49.2,50.8
01M364,EARTH SCHOOL                                    ,2011-2012,34.7,3.6,15.8,6,9.5,35.1,37.2,51.8,48.2
01M378,SCHOOL FOR GLOBAL LEADERS                       ,2011-2012,71.1,11.4,25.5,7.7,18.1,69.4,3.7,50.2,49.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL             ,2011-2012,71.8,21.1,21.8,29.2,22.6,45.9,2.3,57.4,42.6
01M450,EAST SIDE COMMUNITY HIGH SCHOOL                 ,2011-2012,71.8,5,26.4,9.7,23.9,55.4,10.4,54.7,45.3
01M458,SATELLITE ACADEMY HS @ FORSYTHE STREET          ,2011-2012,72.8,4,8.9,2.2,34.4,59.4,3.6,43.3,56.7
01M509,MARTA VALLE SECONDARY SCHOOL                    ,2011-2012,80.7,11.2,25.9,9.3,31.6,56.9,1.6,46.3,53.7
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL         ,2011-2012,77,80.6,1.2,84.7,5.2,8.9,0.9,53.7,46.3
01M539,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH     ,2011-2012,23,0.2,2.7,27.8,11.7,14.2,44.9,49.2,50.8
01M650,CASCADES HIGH SCHOOL                            ,2011-2012,69.8,3.2,6.9,0.5,45.4,49.5,4.1,39.9,60.1
01M696,BARD HIGH SCHOOL EARLY COLLEGE                  ,2011-2012,18,0.2,0.8,15.1,15.1,18.2,49.8,31.3,68.7
01M839,TOMPKINS SQUARE MS EXTENSION                    ,2011-2012,51.7,6,22.1,22.1,16.7,41.7,16.4,44.5,55.5
02M001,PS 001 ALFRED E SMITH                           ,2011-2012,76.2,38.2,13.7,70.7,12.7,15.6,0.4,53.5,46.5
02M002,PS 002 MEYER LONDON                             ,2011-2012,94.5,45.6,11.2,83.2,6.1,8.2,2.5,51.7,48.3
02M003,PS 003 CHARRETTE SCHOOL                         ,2011-2012,14.2,3.4,14.4,6,6.5,14.5,66.9,50.6,49.4
02M006,PS 006 LILLIE D. BLAKE                          ,2011-2012,4.6,2.4,15.2,10.5,3.3,10.4,69.3,53.9,46.1
02M011,PS 011 WILLIAM T HARRIS                         ,2011-2012,38.4,3.1,15.4,13,12.6,30,43.4,53.9,46.1
02M033,PS 033 CHELSEA SCHOOL                           ,2011-2012,70.3,10,9.6,25.3,16.4,34.7,17.9,47.8,52.2
02M040,PS 040 AUGUSTUS ST-GAUDENS                      ,2011-2012,11.9,2.3,15.3,10.9,4.7,14.3,63.7,50.6,49.4
02M041,PS 041 GREENWICH VILLAGE                        ,2011-2012,7.9,1.7,18,10.4,2.6,7.7,75.4,50.4,49.6
02M042,PS 042 BENJAMIN ALTMAN                          ,2011-2012,88.1,36.6,9.9,93.3,1.9,3.7,1.1,51.6,48.4
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,2011-2012,66.9,8,32.2,1.7,32.2,59.2,6.3,42.5,57.5
02M051,PS 051 ELIAS HOWE                               ,2011-2012,65.6,14.2,21.5,16,13.2,55.9,11.1,55.6,44.4
