freelunch,name,ell,dbn,black,asian,female,year,hisp,sped,male,white
89.4,P.S. 015 ROBERTO CLEMENTE                       ,10.6,01M015,33.3,6.3,48.7,2011-2012,57.7,21.2,51.3,2.1
61.5,P.S. 019 ASHER LEVY                             ,10.1,01M019,24.7,15.5,55.2,2011-2012,48.2,18,44.8,8.5
92.5,PS 020 ANNA SILVER                              ,20.4,01M020,8.8,30.4,47.3,2011-2012,57,15.5,52.7,2.6
99.7,PS 034 FRANKLIN D ROOSEVELT                     ,8.5,01M034,22.4,5.5,49.1,2011-2012,68.6,26.4,50.9,2
78.9,PS 063 WILLIAM MCKINLEY                         ,3.4,01M063,23.3,5.1,44.9,2011-2012,62.5,25.6,55.1,8.5
76.9,PS 064 ROBERT SIMON                             ,9,01M064,23.5,8,43.2,2011-2012,59.6,31.5,56.8,7.4
52.5,PS 110 FLORENCE NIGHTINGALE                     ,7,01M110,13.2,12.5,50.2,2011-2012,44.1,13.9,49.8,28.2
84.1,PS 134 HENRIETTA SZOLD                          ,16.5,01M134,20.1,28.2,52,2011-2012,49.1,16.5,48,2.2
82.2,PS 137 JOHN L BERNSTEIN                         ,14.8,01M137,24.8,18.3,51.7,2011-2012,53.5,23.5,48.3,3
82.1,PS 140 NATHAN STRAUS                            ,14.7,01M140,16.2,4.2,46.9,2011-2012,77.9,23.3,53.1,1.7
91.8,PS 142 AMALIA CASTRO                            ,12.2,01M142,13.4,7.9,52,2011-2012,74.1,22.4,48,2.8
71.5,PS 184M SHUANG WEN                              ,10.9,01M184,4.2,81,50.1,2011-2012,5.8,6.7,49.9,8.4
89.6,PS 188 THE ISLAND SCHOOL                        ,16.8,01M188,26.8,2.6,45.6,2011-2012,65.7,19.3,54.4,4.9
88.6,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES   ,22.3,01M292,29.1,14,38.6,2011-2012,53.8,24.9,61.4,1.7
71,TECHNOLOGY ARTS AND SCIENCES STUDIO             ,7.6,01M301,24.1,10,45.3,2011-2012,58.2,31.2,54.7,6.5
35.2,THE EAST VILLAGE COMMUNITY SCHOOL               ,2.9,01M315,12.3,10.7,41,2011-2012,28.3,21.7,59,41.4
87.9,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL           ,19.1,01M332,22.6,1.7,37.4,2011-2012,74.8,32.2,62.6,0
77.1,COLLABORATIVE ACADEMY OF SCIENCE                ,5.7,01M345,22.9,13.1,44.1,2011-2012,61.6,25.3,55.9,2.4
42.7,CHILDREN'S WORKSHOP SCHOOL                      ,7.7,01M361,13,15.4,59.1,2011-2012,30,13.8,40.9,40.5
33.1,NEIGHBORHOOD SCHOOL                             ,2.9,01M363,16.8,13,50.8,2011-2012,28.6,21.9,49.2,40.6
34.7,EARTH SCHOOL                                    ,3.6,01M364,9.5,6,48.2,2011-2012,35.1,15.8,51.8,37.2
71.1,SCHOOL FOR GLOBAL LEADERS                       ,11.4,01M378,18.1,7.7,49.8,2011-2012,69.4,25.5,50.2,3.7
71.8,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL             ,21.1,01M448,22.6,29.2,42.6,2011-2012,45.9,21.8,57.4,2.3
71.8,EAST SIDE COMMUNITY HIGH SCHOOL                 ,5,01M450,23.9,9.7,45.3,2011-2012,55.4,26.4,54.7,10.4
72.8,SATELLITE ACADEMY HS @ FORSYTHE STREET          ,4,01M458,34.4,2.2,56.7,2011-2012,59.4,8.9,43.3,3.6
80.7,MARTA VALLE SECONDARY SCHOOL                    ,11.2,01M509,31.6,9.3,53.7,2011-2012,56.9,25.9,46.3,1.6
77,LOWER EAST SIDE PREPARATORY HIGH SCHOOL         ,80.6,01M515,5.2,84.7,46.3,2011-2012,8.9,1.2,53.7,0.9
23,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH     ,0.2,01M539,11.7,27.8,50.8,2011-2012,14.2,2.7,49.2,44.9
69.8,CASCADES HIGH SCHOOL                            ,3.2,01M650,45.4,0.5,60.1,2011-2012,49.5,6.9,39.9,4.1
18,BARD HIGH SCHOOL EARLY COLLEGE                  ,0.2,01M696,15.1,15.1,68.7,2011-2012,18.2,0.8,31.3,49.8
51.7,TOMPKINS SQUARE MS EXTENSION                    ,6,01M839,16.7,22.1,55.5,2011-2012,41.7,22.1,44.5,16.4
76.2,PS 001 ALFRED E SMITH                           ,38.2,02M001,12.7,70.7,46.5,2011-2012,15.6,13.7,53.5,0.4
94.5,PS 002 MEYER LONDON                             ,45.6,02M002,6.1,83.2,48.3,2011-2012,8.2,11.2,51.7,2.5
14.2,PS 003 CHARRETTE SCHOOL                         ,3.4,02M003,6.5,6,49.4,2011-2012,14.5,14.4,50.6,66.9
4.6,PS 006 LILLIE D. BLAKE                          ,2.4,02M006,3.3,10.5,46.1,2011-2012,10.4,15.2,53.9,69.3
38.4,PS 011 WILLIAM T HARRIS                         ,3.1,02M011,12.6,13,46.1,2011-2012,30,15.4,53.9,43.4
70.3,PS 033 CHELSEA SCHOOL                           ,10,02M033,16.4,25.3,52.2,2011-2012,34.7,9.6,47.8,17.9
11.9,PS 040 AUGUSTUS ST-GAUDENS                      ,2.3,02M040,4.7,10.9,49.4,2011-2012,14.3,15.3,50.6,63.7
7.9,PS 041 GREENWICH VILLAGE                        ,1.7,02M041,2.6,10.4,49.6,2011-2012,7.7,18,50.4,75.4
88.1,PS 042 BENJAMIN ALTMAN                          ,36.6,02M042,1.9,93.3,48.4,2011-2012,3.7,9.9,51.6,1.1
66.9,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL L,8,02M047,32.2,1.7,57.5,2011-2012,59.2,32.2,42.5,6.3
65.6,PS 051 ELIAS HOWE                               ,14.2,02M051,13.2,16,44.4,2011-2012,55.9,21.5,55.6,11.1
16.5,PS 059 BEEKMAN HILL INTL                        ,9,02M059,5.2,13.5,47.3,2011-2012,15.6,13.5,52.7,59
5.7,PS 77 LOWER LAB SCHOOL                          ,0,02M077,3.1,14.8,55,2011-2012,8.3,13.7,45,68.7
6.7,PS 89                                           ,3.8,02M089,3.2,16.4,48.4,2011-2012,12.1,13.4,51.6,63.3
61.8,JHS 104 SIMON BARUCH                            ,6.4,02M104,9.7,55.6,45.7,2011-2012,17.5,15.6,54.3,16.2
64.9,PS 111 ADOLPH S OCHS                            ,19.3,02M111,14.5,10.6,52.7,2011-2012,60.8,26.6,47.3,13.3
10.6,EAST SIDE MIDDLE SCHOOL                         ,0.2,02M114,2.2,15.4,57.8,2011-2012,11.8,14.3,42.2,70.5
23.7,PS 116 MARY LINDLEY MURRAY                      ,5.8,02M116,9,20.9,50.6,2011-2012,20.2,12.4,49.4,45
60.8,PS 124 YUNG WING                                ,23.7,02M124,2.8,92.4,47.6,2011-2012,3.5,8.3,52.4,1.1
66.5,PS 126 JACOB AUGUST RIIS                        ,20,02M126,8.4,53,47.9,2011-2012,24.7,15.7,52.1,13.6
