dbn,dropoutpercent
01M056,
01M056,
01M056,
01M056,
01M056,
01M056,
01M292,
01M292,
01M292,
01M292,41.9
01M292,58.6
01M292,62.5
01M292,39.1
01M292,40.7
01M292,44.0
01M292,44.599999999999994
01M292,23.1
01M292,23.1
01M292,38.1
01M292,38.1
01M292,23.4
01M292,27.3
01M448,31.299999999999997
01M448,43.8
01M448,43.8
01M448,28.799999999999997
01M448,46.199999999999996
01M448,46.199999999999996
01M448,44.800000000000004
01M448,50.5
01M448,51.7
01M448,38.4
01M448,54.5
01M448,58.699999999999996
01M448,33.1
01M448,38.0
01M448,56.0
01M448,61.6
01M448,25.0
01M448,30.6
01M448,46.6
01M448,50.0
01M448,26.0
01M448,28.6
01M450,21.3
01M450,24.6
01M450,24.6
01M450,9.7
01M450,18.1
01M450,22.2
01M450,19.0
01M450,31.6
01M450,32.1
01M450,23.8
01M450,28.6
01M450,29.5
01M450,14.1
01M450,14.1
01M450,16.3
01M450,18.6
01M450,8.899999999999999
01M450,8.899999999999999
01M450,13.2
01M450,13.2
01M450,7.9
01M450,7.9
01M509,55.1
01M509,75.3
01M509,81.1
01M509,40.0
01M509,63.7
01M509,65.5
01M509,38.6
01M509,52.900000000000006
01M509,58.9
01M509,36.900000000000006
01M509,54.7
01M509,60.0
01M509,28.4
01M509,34.1
01M509,38.9
01M509,41.1
01M509,14.3
01M509,16.7
01M509,33.7
01M509,33.7
01M509,29.5
01M509,32.6
01M515,50.0
01M515,64.5
01M515,69.9
01M515,30.3
01M515,44.2
01M515,50.0
01M515,26.3
01M515,36.099999999999994
01M515,42.0
01M515,24.0
01M515,30.9
01M515,33.6
01M515,22.1
01M515,24.7
01M515,34.2
01M515,39.3
01M515,25.400000000000002
01M515,25.400000000000002
01M515,42.3
01M515,42.0
01M515,33.2
01M515,33.699999999999996
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M539,
01M650,41.900000000000006
01M650,75.5
01M650,84.9
01M650,26.099999999999998
01M650,53.3
01M650,69.5
01M650,25.8
01M650,54.900000000000006
01M650,65.7
01M650,37.3
01M650,56.3
01M650,61.8
01M650,22.1
01M650,25.299999999999997
01M650,47.8
01M650,58.2
01M650,21.3
01M650,21.3
01M650,37.0
01M650,37.7
01M650,28.9
01M650,30.6
01M696,3.4
01M696,5.0
01M696,5.0
01M696,0.9
01M696,2.7
01M696,2.7
01M696,0.8
01M696,2.4
01M696,2.4
01M696,0.9
01M696,5.2
01M696,5.2
01M696,0.9
01M696,0.9
01M696,2.7
01M696,3.5
01M696,0.7
01M696,0.7
01M696,0.7
01M696,0.7
01M696,0.8
01M696,0.8
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,
02M047,33.3
02M047,41.7
02M047,58.3
02M047,56.0
02M047,48.0
02M047,48.0
02M047,46.099999999999994
02M047,46.099999999999994
02M047,21.7
02M047,21.7
02M288,
02M288,
02M288,
02M288,
02M288,
02M288,
02M288,
02M288,
02M288,
02M288,23.8
02M288,26.5
02M288,31.0
02M288,16.4
02M288,24.0
02M288,26.900000000000002
02M288,26.900000000000002
02M288,16.599999999999998
02M288,16.599999999999998
02M288,20.0
02M288,20.0
02M288,17.8
02M288,17.8
02M294,
02M294,
02M294,
02M294,
02M294,
02M294,
02M294,39.6
02M294,42.099999999999994
02M294,43.8
02M294,1.4
02M294,2.9
02M294,12.1
02M294,13.4
02M294,16.8
02M294,20.2
02M294,30.7
02M294,30.7
02M294,53.8
02M294,53.8
02M296,
02M296,
02M296,
02M296,33.3
02M296,38.3
02M296,38.8
02M296,16.5
02M296,17.6
02M296,17.6
02M296,19.8
02M296,17.4
02M296,17.4
02M296,22.200000000000003
02M296,22.200000000000003
02M296,12.2
02M296,13.399999999999999
02M298,
02M298,
02M298,
02M298,
02M298,
02M298,
02M298,6.1
02M298,7.0
02M298,7.8
02M298,7.1
02M298,8.1
02M298,12.2
02M298,12.2
02M298,6.5
02M298,6.5
02M298,11.899999999999999
02M298,11.899999999999999
02M298,7.4
02M298,7.4
02M300,
02M300,
02M300,
02M300,
02M300,
02M300,
02M300,10.8
02M300,23.8
02M300,28.2
02M300,6.3
02M300,8.899999999999999
02M300,13.0
02M300,14.3
02M300,13.8
02M300,20.1
02M300,28.8
02M300,30.0
02M300,7.0
02M300,10.5
02M303,
02M303,
02M303,
02M303,19.0
02M303,19.0
02M303,31.1
02M303,30.3
02M303,19.7
02M303,19.7
02M303,26.9
02M303,26.9
02M303,22.8
02M303,22.8
02M305,
02M305,
02M305,
02M305,25.8
02M305,27.200000000000003
02M305,30.6
02M305,32.0
02M305,26.2
02M305,26.2
02M305,30.7
02M305,30.7
02M305,27.1
02M305,30.5
02M308,
02M308,
02M308,
02M308,43.199999999999996
02M308,43.199999999999996
02M308,49.2
02M308,49.2
02M308,29.400000000000002
02M308,29.400000000000002
02M308,36.5
02M308,36.5
02M308,26.9
02M308,30.1
02M313,
02M313,
02M313,
02M313,52.0
02M313,64.0
02M313,59.2
02M313,22.7
02M313,45.5
02M313,54.400000000000006
02M313,29.5
02M313,34.7
02M313,47.5
02M313,53.2
02M313,29.1
02M313,31.6
02M313,43.8
02M313,43.8
02M313,18.4
02M313,20.2
02M316,
02M316,
02M316,
02M316,
02M316,
02M316,
02M316,31.200000000000003
02M316,40.3
02M316,43.3
02M316,45.0
02M316,18.1
02M316,22.299999999999997
02M316,31.099999999999998
02M316,31.099999999999998
02M316,18.1
02M316,34.5
02M374,
02M374,
02M374,60.3
02M374,66.2
02M374,73.89999999999999
02M374,72.5
02M374,25.8
02M374,29.1
02M374,34.1
02M374,36.3
02M374,13.9
02M374,16.7
02M376,
02M394,
02M394,
02M394,
02M394,
02M394,
02M394,
02M394,
02M394,
02M400,27.8
02M400,35.3
02M400,37.5
02M400,22.8
02M400,33.3
02M400,34.6
02M400,26.3
02M400,34.0
02M400,36.599999999999994
02M400,15.100000000000001
02M400,21.2
02M400,24.099999999999998
02M400,18.9
02M400,21.0
02M400,28.7
02M400,28.799999999999997
02M400,18.5
02M400,21.9
02M400,25.700000000000003
02M400,25.099999999999998
02M400,11.2
02M400,12.100000000000001
02M407,85.0
02M407,95.0
02M407,97.5
02M407,84.9
02M407,90.60000000000001
02M407,96.2
02M407,81.5
02M407,95.80000000000001
02M407,98.6
02M407,70.0
02M407,93.9
02M407,97.9
02M407,77.60000000000001
02M407,79.3
02M407,83.1
02M407,95.0
02M407,80.0
02M407,83.6
02M407,92.7
02M407,92.7
02M407,14.8
02M407,14.8
02M408,27.5
02M408,31.3
02M408,31.3
02M408,18.8
02M408,26.099999999999998
02M408,26.099999999999998
02M408,14.299999999999999
02M408,21.4
02M408,22.599999999999998
02M408,2.4
02M408,18.0
02M408,19.0
02M408,16.0
02M408,16.0
02M408,18.2
02M408,18.2
02M408,16.3
02M408,17.5
02M408,19.0
02M408,19.0
02M408,7.0
02M408,10.0
02M411,4.3
02M411,4.3
02M411,4.3
02M411,8.9
02M411,9.9
02M411,9.9
02M411,3.2
02M411,4.3
02M411,4.3
02M411,2.9
02M411,3.8
02M411,3.8
02M411,2.1
02M411,2.1
02M411,2.1
02M411,2.1
02M411,2.9
02M411,2.9
02M411,3.9
02M411,3.9
02M411,5.7
02M411,5.7
