dbn,name,year,cohort_category,cohort_size,grads_num,grads_percent,regents_num,regents_percent_total,regents_percent_grad,advregents_num,advregents_percent_total,advregents_percent_grad,othregents_num,othregents_percent_total,othregents_percent_grad,local_num,local_percent_total,local_percent_grad,enrolled_num,enrolled_percent,drop_num,drop_percent
01M056,CORLEARS SCHOOL,2001,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2001,5 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2001,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2003,4 Year  June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2003,5 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M056,CORLEARS SCHOOL,2003,6 Year,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,4 Year  June,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,5 Year,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2003,6 Year,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,4 Year  June,55,37,67.3%,17,30.9%,45.9%,0,0.0%,0.0%,17,30.9%,45.9%,20,36.4%,54.1%,15,27.3%,3,5.5%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,5 Year,58,39,67.2%,18,31.0%,46.2%,0,0.0%,0.0%,18,31.0%,46.2%,21,36.2%,53.8%,4,6.9%,13,22.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2004,6 Year,56,41,73.2%,18,32.1%,43.9%,0,0.0%,0.0%,18,32.1%,43.9%,23,41.1%,56.1%,2,3.6%,12,21.4%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year  June,64,43,67.2%,27,42.2%,62.8%,0,0.0%,0.0%,27,42.2%,62.8%,16,25.0%,37.2%,9,14.1%,9,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,4 Year August,64,44,68.8%,27,42.2%,61.4%,0,0.0%,0.0%,27,42.2%,61.4%,17,26.6%,38.6%,8,12.5%,9,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,5 Year,66,46,69.7%,28,42.4%,60.9%,0,0.0%,0.0%,28,42.4%,60.9%,18,27.3%,39.1%,4,6.1%,11,16.7%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2005,6 Year,65,47,72.3%,29,44.6%,61.7%,0,0.0%,0.0%,29,44.6%,61.7%,18,27.7%,38.3%,1,1.5%,11,16.9%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year  June,78,43,55.1%,36,46.2%,83.7%,0,0.0%,0.0%,36,46.2%,83.7%,7,9.0%,16.3%,16,20.5%,11,14.1%
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,2006,4 Year August,78,44,56.4%,37,47.4%,84.1%,0,0.0%,0.0%,37,47.4%,84.1%,7,9.0%,15.9%,15,19.2%,11,14.1%
